,Unnamed: 0_x,GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,geometry,Unnamed: 0_y
0,18,1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",761,40,0,0,9,18,31,0,44,0,35,14,65,63,92,71,279,"POLYGON ((-73.995914 40.691416, -73.99508 40.693147, -73.99310299999999 40.692846, -73.993736 40.69153499999999, -73.994361 40.690239, -73.996233 40.690758, -73.995914 40.691416))",23
1,19,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",1116,74,17,0,0,25,15,11,26,57,47,138,110,145,48,96,307,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))",11
2,19,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",1116,74,17,0,0,25,15,11,26,57,47,138,110,145,48,96,307,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))",12
3,20,1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",934,69,0,8,45,24,32,36,8,0,49,12,45,85,30,187,304,"POLYGON ((-73.993736 40.69153499999999, -73.989662 40.690334, -73.99009599999999 40.689706, -73.990686 40.689142, -73.99236399999999 40.68969, -73.994361 40.690239, -73.993736 40.69153499999999))",2
4,21,1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",313,0,7,0,4,0,0,3,9,0,21,30,40,48,40,90,21,"POLYGON ((-73.990447 40.693735, -73.990663 40.694561, -73.990746 40.695034, -73.99009199999999 40.695074, -73.987162 40.694961, -73.98514299999999 40.694885, -73.98536299999999 40.690667, -73.987348 40.691458, -73.98893199999999 40.692086, -73.990972 40.692549, -73.990447 40.693735))",10
5,22,1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",883,13,10,5,25,9,0,39,5,43,39,43,151,133,113,137,118,"POLYGON ((-73.991407 40.69777699999999, -73.99130599999999 40.699195, -73.99103099999999 40.699845, -73.99093499999999 40.700767, -73.98972999999999 40.700734, -73.98868399999999 40.700699, -73.98789599999999 40.698758, -73.98693999999999 40.698781, -73.986969 40.698504, -73.985587 40.698446, -73.98496 40.698445, -73.98472599999999 40.696129, -73.98514299999999 40.694885, -73.987162 40.694961, -73.99009199999999 40.695074, -73.990746 40.695034, -73.991298 40.696579, -73.991365 40.69701, -73.991407 40.69777699999999))",9
6,44,1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",825,5,61,43,4,54,11,13,0,23,115,129,160,90,29,35,53,"POLYGON ((-73.982512 40.693614, -73.979168 40.693489, -73.97782699999999 40.693438, -73.97754499999999 40.691896, -73.97894699999999 40.691921, -73.981791 40.692025, -73.98254 40.693002, -73.982512 40.693614))",13
7,44,1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",825,5,61,43,4,54,11,13,0,23,115,129,160,90,29,35,53,"POLYGON ((-73.982512 40.693614, -73.979168 40.693489, -73.97782699999999 40.693438, -73.97754499999999 40.691896, -73.97894699999999 40.691921, -73.981791 40.692025, -73.98254 40.693002, -73.982512 40.693614))",14
8,45,1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.981791 40.692025, -73.97894699999999 40.691921, -73.978624 40.689831, -73.98136 40.68992799999999, -73.982079 40.691292, -73.981791 40.692025))",15
9,48,1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York",1034,90,44,3,62,65,12,24,0,36,74,47,136,135,43,147,116,"POLYGON ((-73.98136 40.68992799999999, -73.978624 40.689831, -73.977098 40.689773, -73.976545 40.686994, -73.97936299999999 40.686682, -73.980559 40.688351, -73.98087 40.688866, -73.98350599999999 40.689921, -73.98136 40.68992799999999))",0
10,53,1500000US360470035001,360470035001,"Block Group 1, Census Tract 35, Kings County, New York",263,0,4,20,0,0,22,12,3,0,31,11,11,43,13,51,42,"POLYGON ((-73.97936299999999 40.686682, -73.976545 40.686994, -73.97559 40.687086, -73.97495499999999 40.683984, -73.973922 40.683756, -73.97377999999999 40.683061, -73.97592899999999 40.683505, -73.977457 40.684052, -73.978026 40.684864, -73.97936299999999 40.686682))",18
11,58,1500000US360470037001,360470037001,"Block Group 1, Census Tract 37, Kings County, New York",368,37,7,4,3,4,6,0,13,1,8,83,48,22,31,43,58,"POLYGON ((-73.989261 40.690977, -73.98893199999999 40.692086, -73.987348 40.691458, -73.98536299999999 40.690667, -73.98350599999999 40.689921, -73.98087 40.688866, -73.980559 40.688351, -73.97936299999999 40.686682, -73.98181699999999 40.68733, -73.986155 40.689018, -73.989662 40.690334, -73.989261 40.690977))",1
12,61,1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",581,32,27,16,22,7,0,12,16,0,30,22,37,59,79,93,129,"POLYGON ((-73.98181699999999 40.68733, -73.97936299999999 40.686682, -73.978026 40.684864, -73.978337 40.68439499999999, -73.98070199999999 40.685324, -73.98266099999999 40.686086, -73.98181699999999 40.68733))",16
13,61,1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",581,32,27,16,22,7,0,12,16,0,30,22,37,59,79,93,129,"POLYGON ((-73.98181699999999 40.68733, -73.97936299999999 40.686682, -73.978026 40.684864, -73.978337 40.68439499999999, -73.98070199999999 40.685324, -73.98266099999999 40.686086, -73.98181699999999 40.68733))",17
14,62,1500000US360470039002,360470039002,"Block Group 2, Census Tract 39, Kings County, New York",339,89,55,27,24,0,0,15,7,10,0,17,43,0,0,0,52,"POLYGON ((-73.98266099999999 40.686086, -73.98070199999999 40.685324, -73.981993 40.683418, -73.983953 40.684182, -73.98266099999999 40.686086))",20
15,63,1500000US360470039003,360470039003,"Block Group 3, Census Tract 39, Kings County, New York",195,0,10,8,10,8,0,7,0,0,0,0,17,21,37,37,40,"POLYGON ((-73.98070199999999 40.685324, -73.978337 40.68439499999999, -73.97960499999999 40.682489, -73.981993 40.683418, -73.98070199999999 40.685324))",21
16,64,1500000US360470041001,360470041001,"Block Group 1, Census Tract 41, Kings County, New York",689,15,11,45,0,25,21,16,40,33,36,52,93,38,65,80,119,"POLYGON ((-73.986155 40.689018, -73.98181699999999 40.68733, -73.98266099999999 40.686086, -73.98482899999999 40.68693, -73.98700000000001 40.687773, -73.986155 40.689018))",6
17,65,1500000US360470041002,360470041002,"Block Group 2, Census Tract 41, Kings County, New York",463,58,0,31,0,0,0,0,0,11,15,55,77,72,40,49,55,"POLYGON ((-73.98700000000001 40.687773, -73.98482899999999 40.68693, -73.986119 40.685024, -73.98828899999999 40.685869, -73.98700000000001 40.687773))",8
18,66,1500000US360470041003,360470041003,"Block Group 3, Census Tract 41, Kings County, New York",387,0,0,19,20,17,22,0,0,0,0,16,19,37,73,40,124,"POLYGON ((-73.98482899999999 40.68693, -73.98266099999999 40.686086, -73.983953 40.684182, -73.986119 40.685024, -73.98482899999999 40.68693))",19
19,67,1500000US360470043001,360470043001,"Block Group 1, Census Tract 43, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.99009599999999 40.689706, -73.98916799999999 40.688615, -73.990686 40.689142, -73.99009599999999 40.689706))",4
20,68,1500000US360470043002,360470043002,"Block Group 2, Census Tract 43, Kings County, New York",464,94,0,0,22,40,6,0,17,0,17,24,8,10,59,95,72,"POLYGON ((-73.989662 40.690334, -73.986155 40.689018, -73.98700000000001 40.687773, -73.98916799999999 40.688615, -73.99009599999999 40.689706, -73.989662 40.690334))",3
21,69,1500000US360470043003,360470043003,"Block Group 3, Census Tract 43, Kings County, New York",424,0,6,0,39,0,52,0,23,26,53,0,18,47,79,38,43,"POLYGON ((-73.99003499999999 40.687365, -73.98916799999999 40.688615, -73.98700000000001 40.687773, -73.98828899999999 40.685869, -73.99046799999999 40.686728, -73.99003499999999 40.687365))",7
22,70,1500000US360470043004,360470043004,"Block Group 4, Census Tract 43, Kings County, New York",623,28,0,57,0,0,0,16,11,47,9,60,55,101,52,67,120,"POLYGON ((-73.993005 40.688364, -73.99236399999999 40.68969, -73.990686 40.689142, -73.98916799999999 40.688615, -73.99003499999999 40.687365, -73.99046799999999 40.686728, -73.993269 40.687825, -73.993005 40.688364))",5
23,259,1500000US360470129011,360470129011,"Block Group 1, Census Tract 129.01, Kings County, New York",300,10,8,0,0,44,11,32,9,0,6,37,63,32,22,8,18,"POLYGON ((-73.978337 40.68439499999999, -73.978026 40.684864, -73.977457 40.684052, -73.97592899999999 40.683505, -73.97631699999999 40.682509, -73.977023 40.681486, -73.97960499999999 40.682489, -73.978337 40.68439499999999))",22
